placekey,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,distance_from_home,normalized_visits_by_state_scaling,date_range_start,date_range_end,median_dwell,bucketed_dwell_times
zzw-222@62j-sj8-q9f,9.0,7.0,"[0, 0, 3, 0, 0, 4, 2]","[0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,0,1,1,0,0,0,0,0]",250173515001,"{""360810613012"":4,""250250108012"":4,""250277102004"":4}","{""080050821003"":4}",61037.0,200.76486672771813,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,10.0,"{""<5"":0,""5-10"":6,""11-20"":0,""21-60"":3,""61-120"":0,""121-240"":0,"">240"":0}"
247-222@62j-sj2-wp9,173.0,46.0,"[19, 29, 34, 28, 37, 16, 10]","[3,3,3,3,23,39,48,42,50,55,65,57,52,53,37,28,14,11,6,5,6,3,4,2]",250173515002,"{""250173534001"":4,""250173423004"":4,""250173735001"":4,""250251704004"":4,""250214571002"":4,""181050010022"":4}","{""250173531012"":4,""250173515002"":4,""250250915002"":4,""250173511001"":4,""250173534001"":4}",8228.0,3859.1468826550263,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,68.0,"{""<5"":1,""5-10"":18,""11-20"":29,""21-60"":37,""61-120"":19,""121-240"":22,"">240"":47}"
zzy-222@62j-sj2-kj9,7.0,7.0,"[1, 2, 0, 2, 0, 2, 0]","[2,2,2,2,2,2,1,1,1,2,2,2,2,2,3,3,3,1,2,1,1,1,1,2]",250173529002,"{""250173529002"":4,""360470511001"":4,""250173522001"":4}","{""250173419026"":4,""250173529002"":4,""250173522001"":4}",7045.0,156.15045189933633,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,247.0,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":1,""61-120"":1,""121-240"":0,"">240"":4}"
243-223@62j-sj3-9zz,11.0,11.0,"[0, 0, 1, 0, 0, 9, 1]","[2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,4,3]",250173513003,"{""250173550001"":4,""170310315013"":4}","{""170310315013"":4,""120570112032"":4,""360470005021"":4}",27825.0,245.37928155609995,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,63.0,"{""<5"":0,""5-10"":1,""11-20"":4,""21-60"":0,""61-120"":3,""121-240"":3,"">240"":0}"
229-222@62j-sj2-4qf,151.0,149.0,"[6, 9, 17, 15, 34, 37, 33]","[0,0,0,0,0,0,0,0,0,0,3,5,17,22,21,29,43,24,29,16,5,6,1,0]",250173524002,"{""250173531021"":6,""250250806011"":6,""250173538003"":6,""250250808011"":5,""250173514042"":5,""250173531023"":4,""250092501001"":4,""250250008032"":4,""250250101033"":4,""250158204002"":4,""060590320394"":4,""250250104052"":4,""250173736001"":4,""250250103002"":4,""250173506001"":4,""250250106001"":4,""390351812012"":4,""250250104051"":4,""250250702003"":4,""250250917003"":4,""250214044005"":4,""250173221002"":4,""250173564008"":4,""250250002013"":4,""250173395001"":4,""340230065002"":4,""250214175011"":4,""250250701014"":4,""330150034004"":4,""250250101042"":4,""090034621021"":4,""250173537005"":4,""250235041022"":4}","{""250250806011"":5,""250173736001"":4,""421010012013"":4,""250173537005"":4,""250173524002"":4,""440070036023"":4,""250250808011"":4,""250250104051"":4,""250250701014"":4,""250214010002"":4,""250250302001"":4,""250250612001"":4,""250173537003"":4,""440050401023"":4,""250173506001"":4,""250250907003"":4,""250250101033"":4,""250092501001"":4,""250250702003"":4,""250173531021"":4,""250214044005"":4,""250010104002"":4,""250039201022"":4,""250277317001"":4,""250173539001"":4,""517000322122"":4,""250250008032"":4,""361090012001"":4}",4906.0,3368.388319542826,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,21.0,"{""<5"":2,""5-10"":13,""11-20"":46,""21-60"":70,""61-120"":20,""121-240"":0,"">240"":0}"
23d-222@62j-sjz-xdv,38.0,14.0,"[4, 4, 5, 4, 7, 6, 8]","[9,9,8,8,8,8,8,8,9,6,4,7,10,9,5,8,11,5,4,7,4,5,6,7]",250173504005,"{""250250002011"":4,""250173504005"":4,""250173528002"":4}","{""060750218004"":6,""250250002011"":4}",10350.0,847.6738817392543,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,20.0,"{""<5"":0,""5-10"":16,""11-20"":3,""21-60"":4,""61-120"":2,""121-240"":0,"">240"":13}"
zzz-222@62j-sjy-975,184.0,34.0,"[22, 27, 31, 23, 35, 19, 27]","[45,43,43,43,43,42,48,12,17,19,13,14,17,21,20,28,40,49,50,43,40,46,47,48]",250173703006,"{""440010309024"":5,""250173141012"":4,""250173541003"":4,""250092082002"":4,""250092611023"":4,""250173681021"":4,""250173702011"":4,""250173703006"":4}","{""250173577001"":4,""250173353011"":4,""250173702021"":4,""250173573003"":4,""090091713001"":4}",8645.0,4104.526164211126,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,135.5,"{""<5"":2,""5-10"":28,""11-20"":5,""21-60"":23,""61-120"":23,""121-240"":49,"">240"":54}"
22v-222@62j-sk3-mx5,65.0,45.0,"[3, 10, 12, 6, 7, 13, 14]","[3,3,2,3,2,3,2,3,12,8,10,13,16,15,9,9,7,9,9,4,5,2,5,3]",250173509001,"{""250173549001"":6,""250010139003"":4,""250173510004"":4,""250250002012"":4,""250251206002"":4,""250173825002"":4,""250173332002"":4,""250173509001"":4,""371190058374"":4}","{""250250105001"":6,""250250408011"":6,""250173418002"":4,""330110171003"":4,""250138124032"":4,""250173332002"":4,""250173511005"":4,""250092084002"":4,""250092101003"":4,""250173510001"":4,""250173509001"":4,""250092526023"":4,""250250002012"":4}",9088.0,1449.9684819224087,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,22.0,"{""<5"":1,""5-10"":23,""11-20"":6,""21-60"":19,""61-120"":6,""121-240"":5,"">240"":5}"
zzw-224@62j-sk2-vcq,10.0,8.0,"[1, 3, 2, 0, 2, 1, 1]","[0,0,0,0,0,0,0,0,1,1,2,2,2,3,6,2,0,1,0,0,0,0,0,0]",250173545003,"{""250173536005"":4,""150090311012"":4}",{},1984.0,223.07207414190898,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,61.5,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":4,""61-120"":6,""121-240"":0,"">240"":0}"
23q-223@62j-sjy-ygk,39.0,13.0,"[4, 5, 8, 6, 9, 3, 4]","[2,2,2,2,2,2,2,4,21,18,18,4,6,6,6,6,2,2,2,2,2,1,2,2]",250173506002,"{""250173506001"":4,""250173507003"":4}","{""250173506002"":4,""250173506001"":4}",2835.0,869.9810891534453,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,120.0,"{""<5"":2,""5-10"":5,""11-20"":3,""21-60"":4,""61-120"":6,""121-240"":15,"">240"":4}"
225-222@62j-sj8-kpv,242.0,182.0,"[29, 28, 23, 37, 44, 50, 31]","[1,2,1,1,1,1,1,9,14,24,24,45,43,34,49,61,42,44,27,15,11,9,3,4]",250173502005,"{""250173501042"":9,""250173501041"":7,""250173511001"":6,""250092054002"":4,""250173507001"":4,""250173514034"":4,""250173383002"":4,""250173398012"":4,""250173834001"":4,""250173333002"":4,""250173563001"":4,""250173154032"":4,""250173565003"":4,""250173549002"":4,""500070031002"":4,""250173400002"":4,""250173399001"":4,""250173746001"":4,""250173501032"":4,""250173411012"":4,""250251802002"":4,""250251703001"":4,""250092082001"":4,""250173512032"":4,""250092102003"":4,""250173313002"":4,""250092081012"":4,""250214152001"":4,""250173507002"":4,""250173395002"":4,""250173416006"":4}","{""250173501041"":7,""250214152001"":5,""250173502003"":5,""250173834001"":4,""250173513001"":4,""500070031002"":4,""250173391002"":4,""250092084002"":4,""250173163005"":4,""250173561002"":4,""250173213005"":4,""250173395002"":4,""250173333002"":4,""250173514034"":4,""250173631041"":4,""250173412005"":4,""250092532032"":4,""250173371022"":4,""250173399001"":4,""250173507002"":4,""250173313002"":4,""250173161012"":4,""250092082001"":4,""250173501042"":4,""250173398022"":4,""250173383002"":4,""250173103001"":4,""250173336004"":4,""250173336003"":4,""120110104072"":4,""250173511005"":4,""250092054002"":4}",5986.0,5398.344194234198,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,13.5,"{""<5"":4,""5-10"":104,""11-20"":40,""21-60"":49,""61-120"":21,""121-240"":11,"">240"":13}"
zzy-222@62j-sj8-pgk,44.0,31.0,"[6, 2, 6, 4, 9, 4, 13]","[1,1,1,1,2,2,2,4,3,6,6,5,3,5,6,8,8,7,3,5,3,4,6,4]",250173513002,"{""250173508002"":4,""250235011011"":4,""250173161013"":4,""250173585003"":4,""250173173022"":4,""250173513001"":4}","{""250173513001"":6,""250173550002"":4,""250092057002"":4,""250056161003"":4,""250173514044"":4}",3860.0,981.5171262243996,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,18.0,"{""<5"":4,""5-10"":10,""11-20"":10,""21-60"":10,""61-120"":2,""121-240"":5,"">240"":3}"
22c-223@62j-sjz-jqf,4.0,3.0,"[0, 1, 1, 0, 2, 0, 0]","[0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0]",250173550001,"{""250251803014"":4}",{},,89.22882965676361,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,42.0,"{""<5"":0,""5-10"":0,""11-20"":1,""21-60"":2,""61-120"":1,""121-240"":0,"">240"":0}"
223-222@62j-sk2-kxq,213.0,116.0,"[26, 29, 20, 31, 32, 41, 34]","[16,13,11,11,11,11,13,24,28,29,29,26,26,25,24,21,10,12,6,6,66,95,90,63]",250173511005,"{""250173511005"":15,""250173512043"":8,""250092102002"":4,""250173502001"":4,""250173536004"":4,""250251705011"":4,""250173510001"":4,""250173511002"":4,""250250509012"":4,""250173398023"":4,""250235071011"":4}","{""250173512043"":5,""250173511005"":5,""250092102002"":5,""250173836003"":4,""250173510001"":4,""250214033003"":4,""250250509012"":4,""250259803001"":4}",1024.0,4751.435179222663,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,51.0,"{""<5"":7,""5-10"":29,""11-20"":27,""21-60"":50,""61-120"":33,""121-240"":32,"">240"":35}"
24f-225@62j-sjz-xdv,13.0,13.0,"[1, 1, 3, 1, 2, 4, 1]","[0,0,0,0,0,0,0,2,1,1,1,2,3,1,1,4,3,1,1,0,1,0,0,0]",250173504001,"{""250173421024"":4}","{""250173371023"":5,""250173507004"":4}",4727.0,289.9936963844817,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,10.0,"{""<5"":1,""5-10"":6,""11-20"":2,""21-60"":1,""61-120"":0,""121-240"":3,"">240"":0}"
zzy-222@62j-sjr-zcq,100.0,57.0,"[2, 9, 6, 13, 24, 31, 15]","[54,54,53,52,51,51,51,45,36,26,15,10,6,2,7,10,12,11,13,16,30,36,46,52]",250173546004,"{""420171020021"":4,""420912083021"":4,""180594101004"":4,""420454031032"":4,""060372611022"":4,""250173549003"":4,""120990077132"":4}","{""060790117041"":6,""250173502002"":5,""530330277015"":4,""060372611022"":4,""420912034021"":4,""360595216014"":4,""250173564008"":4,""360595177051"":4,""482013416001"":4,""340155017011"":4}",591851.0,2230.7207414190907,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,461.0,"{""<5"":2,""5-10"":6,""11-20"":3,""21-60"":14,""61-120"":8,""121-240"":7,"">240"":60}"
25r-222@62j-shx-h3q,1.0,1.0,"[0, 0, 0, 0, 0, 0, 1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0]",250173521011,{},{},,22.30720741419091,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,56.0,"{""<5"":0,""5-10"":0,""11-20"":0,""21-60"":1,""61-120"":0,""121-240"":0,"">240"":0}"
24j-223@62j-sj2-vs5,41.0,29.0,"[2, 1, 12, 5, 12, 4, 5]","[3,3,3,3,5,7,5,4,5,7,5,5,5,4,4,9,5,2,4,4,9,8,3,4]",250173522001,"{""250277391002"":4,""361190024032"":4,""120419501003"":4,""440070025002"":4,""250173521012"":4,""330150036012"":4,""250173527002"":4,""330150039022"":4,""250251701005"":4}","{""361190024032"":6,""250173550001"":4,""250250909012"":4,""250092541005"":4,""250251701005"":4,""250173527002"":4,""440070142002"":4}",24429.0,914.5955039818268,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,26.0,"{""<5"":0,""5-10"":13,""11-20"":6,""21-60"":14,""61-120"":2,""121-240"":2,"">240"":4}"
223-224@62j-sj9-6kz,294.0,242.0,"[22, 17, 30, 16, 50, 99, 60]","[4,3,3,2,2,2,2,2,11,12,8,15,37,38,35,35,43,53,88,76,43,33,8,5]",250173501031,"{""250250008025"":7,""360550135081"":6,""120950171052"":5,""250235115003"":5,""250173702012"":5,""250251707011"":4,""250173536002"":4,""250173394004"":4,""250251606011"":4,""250277316003"":4,""250173502006"":4,""250173501044"":4,""250251101035"":4,""250173344001"":4,""250173612003"":4,""250092532032"":4,""390610211023"":4,""250092106002"":4,""250251701001"":4,""250092084003"":4,""250250006023"":4,""250173528002"":4,""250138016051"":4,""250173423003"":4,""250173143021"":4,""250092083002"":4,""250173398014"":4,""250092071002"":4,""250173399001"":4,""250173507005"":4,""250173422011"":4,""484391054043"":4,""360610150023"":4,""120570133151"":4,""250277326005"":4,""250039141002"":4,""250173363006"":4,""250173681013"":4,""250250505001"":4,""250173399004"":4,""250173401001"":4,""250173502004"":4,""120990060062"":4,""250173392006"":4}","{""250173506001"":8,""250173672007"":7,""250251704003"":5,""250250505001"":5,""250173416005"":5,""360610150023"":4,""040190047112"":4,""090010206001"":4,""250092121004"":4,""250039251003"":4,""250251201042"":4,""250173381001"":4,""250173423003"":4,""250173512042"":4,""250173531012"":4,""250173567024"":4,""250173550001"":4,""121030273203"":4,""250173502001"":4,""191530107021"":4,""250173528002"":4,""250250502002"":4,""250173363006"":4,""250173514035"":4,""360550135081"":4,""250173394004"":4,""250173399004"":4,""170978653002"":4,""250250702001"":4,""250173398014"":4,""250092663001"":4,""250173527002"":4,""250250815002"":4,""250277317001"":4,""250173521022"":4,""510853209003"":4,""250250511014"":4,""250173501031"":4,""240317059021"":4,""250173363005"":4,""250173536002"":4,""290739605004"":4,""121170213121"":4,""330130310013"":4,""250250203011"":4,""250250604001"":4,""250092103001"":4,""250173502004"":4,""250173681013"":4,""250173391001"":4,""260750064024"":4,""250173501044"":4,""250251704004"":4}",8979.0,6558.318979772125,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,40.0,"{""<5"":5,""5-10"":40,""11-20"":40,""21-60"":117,""61-120"":77,""121-240"":10,"">240"":5}"
235-224@62j-sk2-vmk,75.0,55.0,"[6, 11, 13, 3, 14, 14, 14]","[3,3,3,3,3,3,2,4,8,11,11,16,16,24,20,19,11,13,13,6,4,2,3,3]",250173547001,"{""250173507001"":5,""250250921015"":4,""250173540002"":4,""230139702001"":4,""250173502003"":4,""250277391003"":4,""250173251002"":4,""250173501031"":4}","{""360594063004"":5,""250173691005"":4,""250250813003"":4,""250173540002"":4,""250173251002"":4,""250173532001"":4,""250250702003"":4,""250235012023"":4,""250173501043"":4,""250173549003"":4,""250173547001"":4,""250173395002"":4,""250173501031"":4,""250092112004"":4}",7552.0,1673.0405560643176,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,20.0,"{""<5"":0,""5-10"":18,""11-20"":20,""21-60"":16,""61-120"":5,""121-240"":4,"">240"":12}"
243-226@62j-sj2-jgk,3.0,3.0,"[1, 2, 0, 0, 0, 0, 0]","[1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1]",250173538002,{},"{""250250917001"":4}",,66.92162224257271,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,10.0,"{""<5"":0,""5-10"":2,""11-20"":0,""21-60"":0,""61-120"":0,""121-240"":0,"">240"":1}"
228-222@62j-sjv-fzz,67.0,46.0,"[11, 9, 9, 11, 11, 11, 5]","[1,0,0,0,0,2,12,14,12,12,12,19,17,17,13,8,11,12,6,4,4,2,1,1]",250173534001,"{""550896603013"":4,""250173512042"":4,""250173543001"":4,""250173506001"":4,""240317006074"":4,""470650006001"":4,""040138106001"":4}","{""250173533001"":4,""360593028001"":4,""250250105002"":4,""250277451003"":4,""250214431012"":4,""040138106001"":4,""360593042022"":4,""260650044901"":4,""250173701024"":4}",28282.0,1494.5828967507905,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,25.0,"{""<5"":2,""5-10"":14,""11-20"":9,""21-60"":22,""61-120"":6,""121-240"":4,"">240"":10}"
zzz-222@62j-sk3-92k,109.0,30.0,"[9, 23, 19, 10, 18, 21, 9]","[15,15,16,16,17,18,30,26,22,22,17,19,18,25,23,11,6,11,16,14,14,18,15,14]",250173511002,"{""330199757001"":5,""250277613001"":5,""330151021003"":4,""250173332003"":4,""250173511002"":4,""250173529002"":4,""250251604001"":4}","{""250173502002"":5,""250214223011"":4,""250251604001"":4}",12228.0,2431.4856081468083,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,53.0,"{""<5"":2,""5-10"":18,""11-20"":13,""21-60"":23,""61-120"":20,""121-240"":12,"">240"":21}"
22s-222@62j-sj2-nqz,31.0,13.0,"[4, 6, 4, 5, 8, 3, 1]","[3,2,2,1,1,1,1,3,15,16,16,17,12,8,3,0,0,1,3,2,6,4,4,3]",250173533001,"{""250092046005"":4,""250173512042"":4,""250092055002"":4}",{},7307.0,691.5234298399181,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,201.0,"{""<5"":2,""5-10"":1,""11-20"":2,""21-60"":4,""61-120"":3,""121-240"":8,"">240"":11}"
22r-222@62j-sk3-66k,2.0,2.0,"[1, 0, 0, 0, 1, 0, 0]","[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0]",250173540001,"{""250173333003"":4}",{},,44.61441482838182,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,14.5,"{""<5"":0,""5-10"":1,""11-20"":0,""21-60"":1,""61-120"":0,""121-240"":0,"">240"":0}"
22t-222@62j-sk2-j7q,36.0,32.0,"[4, 3, 7, 4, 5, 10, 3]","[0,0,0,0,1,1,1,4,3,6,4,4,10,8,13,6,7,3,1,2,4,2,0,0]",250173510003,"{""250173501041"":4,""250092062002"":4,""250250606001"":4,""250173510001"":4,""250173392001"":4,""250173511004"":4,""250173398022"":4,""250173515002"":4,""250173424001"":4}","{""250092067002"":4,""250173537001"":4,""250173501041"":4,""250173511004"":4,""250173532002"":4,""250250909012"":4,""250173398022"":4,""250173334001"":4,""250235022004"":4}",6487.0,803.0594669108725,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,19.5,"{""<5"":1,""5-10"":15,""11-20"":3,""21-60"":9,""61-120"":2,""121-240"":3,"">240"":3}"
zzz-222@62j-sjs-n5z,133.0,53.0,"[15, 16, 15, 18, 28, 21, 20]","[20,20,18,18,18,18,28,29,30,30,31,23,32,30,28,18,9,9,7,9,12,14,18,21]",250173543003,"{""250173543001"":5,""250092105003"":4,""250056409015"":4,""250173546004"":4,""250138126001"":4,""250173400002"":4,""250250701012"":4,""250173702012"":4,""250173423003"":4,""250173542003"":4,""250173547001"":4,""250173543003"":4,""250173571002"":4,""250173689011"":4}","{""250173543001"":6,""250173512034"":4,""250092105003"":4,""250173542003"":4,""250173549003"":4,""250173423003"":4,""250173543003"":4,""250173701011"":4,""250092610002"":4,""250214226001"":4}",4043.0,2966.85858608739,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,41.0,"{""<5"":3,""5-10"":29,""11-20"":11,""21-60"":35,""61-120"":19,""121-240"":7,"">240"":29}"
24m-222@62j-sjs-v75,58.0,42.0,"[3, 10, 4, 5, 8, 11, 17]","[2,1,1,1,1,1,1,2,1,3,6,17,15,17,14,16,14,12,6,5,3,3,2,2]",250173548001,"{""250173423003"":5,""250173549002"":4,""250173426001"":4,""250173351006"":4,""250251605022"":4,""250173536002"":4,""250173549001"":4}","{""250214031001"":4,""250092105004"":4,""250173731005"":4,""250173550001"":4,""250173527001"":4,""250173567013"":4}",7878.0,1293.8180300230724,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,10.0,"{""<5"":2,""5-10"":28,""11-20"":3,""21-60"":6,""61-120"":5,""121-240"":8,"">240"":6}"
232-222@62j-sj3-9zz,54.0,37.0,"[5, 11, 6, 7, 9, 9, 7]","[0,0,0,0,0,1,1,1,3,5,4,6,16,17,14,10,11,8,4,3,5,3,1,0]",250173513003,"{""250056525001"":4,""250173512032"":4,""250173514034"":4,""250173413003"":4,""250173563001"":4,""250251805003"":4,""250173744003"":4,""250251006031"":4,""250173513003"":4,""250173335012"":4,""250173504001"":4}","{""250173512032"":4,""250173336003"":4,""250251601015"":4,""250173744003"":4,""250173513003"":4,""250173527002"":4,""250173504001"":4,""250173514044"":4,""250173413003"":4,""250235012023"":4,""250173503003"":4}",5192.0,1204.5892003663091,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,22.0,"{""<5"":0,""5-10"":14,""11-20"":10,""21-60"":21,""61-120"":4,""121-240"":1,"">240"":4}"
zzy-222@62j-sj4-vj9,493.0,278.0,"[78, 36, 33, 28, 13, 1, 4]","[85,79,80,68,60,64,64,67,76,92,94,81,84,80,82,88,80,72,59,32,111,158,172,148]",250173531022,"{""250173531022"":13,""250235021014"":5,""250259818001"":4,""330130030013"":4,""250173523001"":4,""090034603011"":4,""090093508004"":4,""060530118022"":4,""250251008001"":4,""250173531012"":4,""250173689014"":4,""250010148003"":4,""250259812021"":4,""250235117015"":4,""130670303333"":4,""250173882002"":4,""250251404002"":4,""250250612001"":4,""250235601003"":4,""250056527004"":4,""090034001001"":4,""090034964002"":4,""250092215002"":4,""250251001007"":4,""250010126023"":4}","{""250251001007"":6,""360811029001"":5,""250173531022"":4,""250010120014"":4,""090075413002"":4,""250250612001"":4,""250235422003"":4,""090091302002"":4,""250250107012"":4,""250214180043"":4,""360610121001"":4,""121150006022"":4,""250056527004"":4,""250173531012"":4,""250214564012"":4,""250056422004"":4,""250092525023"":4,""250235306001"":4,""250173501042"":4}",71658.0,10997.453255196117,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,85.0,"{""<5"":5,""5-10"":44,""11-20"":63,""21-60"":89,""61-120"":83,""121-240"":101,"">240"":108}"
zzw-222@62j-sjv-8vz,12.0,9.0,"[4, 0, 2, 2, 1, 0, 3]","[1,0,0,0,0,0,0,0,1,3,4,2,5,1,1,0,0,0,0,0,0,0,0,0]",250173537005,"{""250173222001"":4,""250173538003"":4}",{},8345.0,267.68648897029084,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,12.5,"{""<5"":1,""5-10"":5,""11-20"":2,""21-60"":3,""61-120"":0,""121-240"":1,"">240"":0}"
229-222@62j-sjz-68v,245.0,154.0,"[30, 23, 23, 26, 55, 41, 47]","[15,10,5,5,6,6,6,6,14,18,23,18,30,28,27,34,42,53,62,54,52,55,38,25]",250173509003,"{""250173395001"":8,""250173501044"":5,""250173504001"":5,""371830535231"":4,""250173564001"":4,""250235052003"":4,""250173546001"":4,""250173546004"":4,""250173571003"":4,""250173509001"":4,""250250511013"":4,""250173546003"":4,""250173371012"":4,""250173543002"":4,""250173507005"":4,""250173362005"":4,""250235109003"":4,""340170105003"":4,""330110111021"":4,""250173549003"":4,""420270124001"":4,""250173397001"":4,""250173322001"":4,""250173201042"":4,""250173510006"":4,""090138501002"":4,""250173418002"":4,""250173103001"":4,""261614530001"":4,""250173503003"":4,""250173507002"":4,""371790210122"":4,""250173321002"":4,""090091502001"":4,""361031583151"":4}","{""250173395001"":11,""250173563001"":6,""250173504001"":5,""250173506001"":5,""250173505002"":4,""250173201042"":4,""250173536001"":4,""250173507006"":4,""250173509001"":4,""250173362005"":4,""250173397003"":4,""420270124001"":4,""250173183001"":4,""340350536033"":4,""250173549002"":4,""060530016002"":4,""250173514034"":4,""250173506004"":4,""250173216001"":4,""250173503003"":4,""340390364005"":4,""250250907003"":4,""250173507002"":4,""250173512041"":4,""250173501044"":4,""330110143005"":4,""250173564003"":4,""250173540001"":4,""250173541002"":4,""250173564001"":4,""250173521022"":4,""250173542003"":4}",5617.0,5465.265816476771,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,61.0,"{""<5"":4,""5-10"":35,""11-20"":15,""21-60"":66,""61-120"":64,""121-240"":42,"">240"":19}"
23s-223@62j-sjz-yqf,15.0,10.0,"[4, 1, 2, 4, 1, 2, 1]","[0,0,0,0,0,0,0,0,2,3,1,2,2,3,1,0,1,2,1,2,0,0,0,0]",250173505001,"{""250173505002"":7,""250173171014"":4,""330110200002"":4,""250173501041"":4,""250173502006"":4}","{""330110006001"":4}",4281.0,334.6081112128636,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,8.0,"{""<5"":1,""5-10"":8,""11-20"":3,""21-60"":1,""61-120"":1,""121-240"":1,"">240"":0}"
22v-223@62j-sk3-ch5,12.0,11.0,"[1, 1, 0, 1, 1, 6, 2]","[3,1,1,1,1,1,0,0,0,0,1,2,1,1,1,1,0,0,1,1,2,2,3,2]",250173503003,"{""250173399001"":4}","{""250173399001"":4}",3105.0,267.68648897029084,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,11.5,"{""<5"":0,""5-10"":4,""11-20"":4,""21-60"":1,""61-120"":1,""121-240"":1,"">240"":1}"
258-223@62j-sjz-5s5,20.0,9.0,"[1, 4, 5, 5, 1, 3, 1]","[0,0,0,0,0,0,0,0,3,0,2,1,1,2,2,2,5,5,2,1,1,3,2,0]",250173508002,{},"{""250173501043"":4}",3415.0,446.14414828381797,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,13.0,"{""<5"":0,""5-10"":7,""11-20"":7,""21-60"":4,""61-120"":1,""121-240"":0,"">240"":1}"
223-222@62j-sjv-92k,675.0,155.0,"[29, 90, 5, 83, 73, 68, 27]","[81,43,18,7,5,2,1,1,6,25,47,65,104,113,127,143,181,157,118,89,125,142,125,114]",250173537003,"{""250173537003"":54,""250173539003"":24,""250173539001"":16,""250173537005"":13,""250173540002"":10,""470930068003"":4,""250173537004"":4,""250173538003"":4,""410510102001"":4,""250173512032"":4,""250173541004"":4}","{""250173537003"":54,""250173539003"":23,""250173539001"":20,""250173537005"":17,""250173540002"":8,""250173537004"":6,""250250001001"":6,""250173541004"":4,""110010084022"":4,""250173512032"":4,""250251010023"":4}",314.0,15057.365004578858,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,94.0,"{""<5"":3,""5-10"":13,""11-20"":43,""21-60"":151,""61-120"":227,""121-240"":188,"">240"":50}"
22q-222@62j-sk3-249,28.0,25.0,"[6, 4, 1, 5, 4, 4, 4]","[0,0,0,0,0,0,1,5,4,3,4,4,1,4,3,3,4,3,3,0,1,2,1,0]",250173540001,"{""250173564002"":4,""250173546001"":4,""482015220003"":4}","{""250173540001"":4,""250173536003"":4,""250173546001"":4,""350010047291"":4,""482015220003"":4}",5224.0,624.6018075973453,2021-10-01T00:00:00-04:00,2021-11-01T00:00:00-04:00,20.0,"{""<5"":0,""5-10"":9,""11-20"":7,""21-60"":10,""61-120"":0,""121-240"":2,"">240"":0}"
