Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Station,Start Time,End Time,Duration (min),Start Battery %,End Battery %,Battery Gain %
1486,00:49:32,false,80,65000.0,3.0555555555555554,0,autonomousBike37,chargingStation[51],00:48:02,00:49:32,1.5,20.535680395491664,100.0,79.46431960450833
12222,06:47:24,false,80,65000.0,3.0555555555555554,0,autonomousBike36,chargingStation[2],06:45:58,06:47:24,1.4333333333333333,24.238936027741186,100.0,75.76106397225882
12451,06:55:02,false,80,65000.0,3.0555555555555554,0,autonomousBike38,chargingStation[51],06:53:36,06:55:02,1.4333333333333333,23.63211158575798,100.0,76.36788841424203
12722,07:04:04,false,80,65000.0,3.0555555555555554,0,autonomousBike8,chargingStation[50],07:02:40,07:04:04,1.4,24.436554123711986,100.0,75.56344587628801
12840,07:08:00,false,80,65000.0,3.0555555555555554,0,autonomousBike12,chargingStation[3],07:06:36,07:08:00,1.4,24.388143450478932,100.0,75.61185654952108
13487,07:29:34,false,80,65000.0,3.0555555555555554,0,autonomousBike74,chargingStation[32],07:28:08,07:29:34,1.4333333333333333,23.865538809808765,100.0,76.13446119019123
13691,07:36:22,false,80,65000.0,3.0555555555555554,0,autonomousBike69,chargingStation[19],07:34:56,07:36:22,1.4333333333333333,23.43690367749383,100.0,76.56309632250617
13991,07:46:22,false,80,65000.0,3.0555555555555554,0,autonomousBike63,chargingStation[1],07:44:50,07:46:22,1.5333333333333334,18.299401777077087,100.0,81.7005982229229
14270,07:55:40,false,80,65000.0,3.0555555555555554,0,autonomousBike77,chargingStation[31],07:54:10,07:55:40,1.5,19.193250960621498,100.0,80.8067490393785
14688,08:09:36,false,80,65000.0,3.0555555555555554,0,autonomousBike9,chargingStation[5],08:08:08,08:09:36,1.4666666666666666,22.01624352075934,100.0,77.98375647924067
14884,08:16:08,false,80,65000.0,3.0555555555555554,0,autonomousBike67,chargingStation[69],08:14:42,08:16:08,1.4333333333333333,22.934510950513808,100.0,77.06548904948619
15267,08:28:54,false,80,65000.0,3.0555555555555554,0,autonomousBike56,chargingStation[61],08:27:28,08:28:54,1.4333333333333333,22.895502492960595,100.0,77.10449750703941
15632,08:41:04,false,80,65000.0,3.0555555555555554,0,autonomousBike7,chargingStation[40],08:39:34,08:41:04,1.5,20.306862508828555,100.0,79.69313749117144
15793,08:46:26,false,80,65000.0,3.0555555555555554,0,autonomousBike65,chargingStation[10],08:45:02,08:46:26,1.4,24.443437122042976,100.0,75.55656287795702
16054,08:55:08,false,80,65000.0,3.0555555555555554,0,autonomousBike73,chargingStation[55],08:53:44,08:55:08,1.4,24.582054497102636,100.0,75.41794550289735
16429,09:07:38,false,80,65000.0,3.0555555555555554,0,autonomousBike21,chargingStation[48],09:06:12,09:07:38,1.4333333333333333,23.08925690897252,100.0,76.91074309102748
16624,09:14:08,false,80,65000.0,3.0555555555555554,0,autonomousBike1,chargingStation[39],09:12:42,09:14:08,1.4333333333333333,23.042713995472027,100.0,76.95728600452797
17153,09:31:46,false,80,65000.0,3.0555555555555554,0,autonomousBike44,chargingStation[56],09:30:22,09:31:46,1.4,24.650017182438848,100.0,75.34998281756116
17389,09:39:38,false,80,65000.0,3.0555555555555554,0,autonomousBike72,chargingStation[45],09:38:12,09:39:38,1.4333333333333333,24.05433063552509,100.0,75.94566936447491
17524,09:44:08,false,80,65000.0,3.0555555555555554,0,autonomousBike52,chargingStation[5],09:42:42,09:44:08,1.4333333333333333,23.819182837276994,100.0,76.180817162723
17550,09:45:00,false,80,65000.0,3.0555555555555554,0,autonomousBike26,chargingStation[57],09:43:30,09:45:00,1.5,20.31726665274576,100.0,79.68273334725424
18248,10:08:16,false,80,65000.0,3.0555555555555554,0,autonomousBike76,chargingStation[57],10:06:48,10:08:16,1.4666666666666666,21.12393764186154,100.0,78.87606235813847
18268,10:08:56,false,80,65000.0,3.0555555555555554,0,autonomousBike61,chargingStation[64],10:07:30,10:08:56,1.4333333333333333,22.93291704322073,100.0,77.06708295677927
18287,10:09:34,false,80,65000.0,3.0555555555555554,0,autonomousBike45,chargingStation[67],10:08:08,10:09:34,1.4333333333333333,24.216126170290977,100.0,75.78387382970902
18345,10:11:30,false,80,65000.0,3.0555555555555554,0,autonomousBike30,chargingStation[44],10:10:02,10:11:30,1.4666666666666666,21.91827910542214,100.0,78.08172089457787
18391,10:13:02,false,80,65000.0,3.0555555555555554,0,autonomousBike18,chargingStation[68],10:11:30,10:13:02,1.5333333333333334,18.02168898050482,100.0,81.97831101949518
18485,10:16:10,false,80,65000.0,3.0555555555555554,0,autonomousBike32,chargingStation[44],10:14:42,10:16:10,1.4666666666666666,21.24373915332538,100.0,78.75626084667464
