Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Station,Start Time,End Time,Duration (min),Start Battery %,End Battery %,Battery Gain %
2001,01:06:42,false,180,35000.0,3.888888888888889,0,autonomousBike147,chargingStation[36],01:05:16,01:06:42,1.4333333333333333,23.194140085067914,100.0,76.8058599149321
9452,05:15:04,false,180,35000.0,3.888888888888889,0,autonomousBike106,chargingStation[21],05:13:32,05:15:04,1.5333333333333334,17.952972430617336,100.0,82.04702756938266
11189,06:12:58,false,180,35000.0,3.888888888888889,0,autonomousBike28,chargingStation[35],06:11:30,06:12:58,1.4666666666666666,21.358552717691556,100.0,78.64144728230845
12715,07:03:50,false,180,35000.0,3.888888888888889,0,autonomousBike22,chargingStation[71],07:02:12,07:03:50,1.6333333333333333,11.997759179542053,100.0,88.00224082045794
12857,07:08:34,false,180,35000.0,3.888888888888889,0,autonomousBike174,chargingStation[10],07:07:04,07:08:34,1.5,20.339326270540415,100.0,79.66067372945959
13039,07:14:38,false,180,35000.0,3.888888888888889,0,autonomousBike130,chargingStation[21],07:13:10,07:14:38,1.4666666666666666,21.55528818815839,100.0,78.44471181184161
13043,07:14:46,false,180,35000.0,3.888888888888889,0,autonomousBike45,chargingStation[51],07:13:18,07:14:46,1.4666666666666666,22.462962267871838,100.0,77.53703773212817
13372,07:25:44,false,180,35000.0,3.888888888888889,0,autonomousBike92,chargingStation[1],07:24:18,07:25:44,1.4333333333333333,23.838486180268742,100.0,76.16151381973125
13385,07:26:10,false,180,35000.0,3.888888888888889,0,autonomousBike91,chargingStation[60],07:24:44,07:26:10,1.4333333333333333,23.258505416752314,100.0,76.74149458324769
13806,07:40:12,false,180,35000.0,3.888888888888889,0,autonomousBike43,chargingStation[1],07:38:34,07:40:12,1.6333333333333333,13.080346091590926,100.0,86.91965390840906
14039,07:47:58,false,180,35000.0,3.888888888888889,0,autonomousBike135,chargingStation[55],07:46:26,07:47:58,1.5333333333333334,17.124151366664385,100.0,82.87584863333561
14117,07:50:34,false,180,35000.0,3.888888888888889,0,autonomousBike110,chargingStation[31],07:49:02,07:50:34,1.5333333333333334,17.848514356808266,100.0,82.15148564319173
14160,07:52:00,false,180,35000.0,3.888888888888889,0,autonomousBike21,chargingStation[48],07:50:34,07:52:00,1.4333333333333333,22.650259691024466,100.0,77.34974030897554
14171,07:52:22,false,180,35000.0,3.888888888888889,0,autonomousBike90,chargingStation[74],07:50:52,07:52:22,1.5,20.016534824048005,100.0,79.98346517595199
14334,07:57:48,false,180,35000.0,3.888888888888889,0,autonomousBike169,chargingStation[71],07:56:22,07:57:48,1.4333333333333333,22.611123354551285,100.0,77.38887664544872
14334,07:57:48,false,180,35000.0,3.888888888888889,0,autonomousBike178,chargingStation[0],07:56:22,07:57:48,1.4333333333333333,24.078669377349115,100.0,75.92133062265087
14421,08:00:42,false,180,35000.0,3.888888888888889,0,autonomousBike93,chargingStation[68],07:59:16,08:00:42,1.4333333333333333,24.014069785225065,100.0,75.98593021477494
14707,08:10:14,false,180,35000.0,3.888888888888889,0,autonomousBike98,chargingStation[38],08:08:48,08:10:14,1.4333333333333333,22.597754900572475,100.0,77.40224509942752
14762,08:12:04,false,180,35000.0,3.888888888888889,0,autonomousBike115,chargingStation[29],08:10:38,08:12:04,1.4333333333333333,23.75598982345687,100.0,76.24401017654313
14796,08:13:12,false,180,35000.0,3.888888888888889,0,autonomousBike158,chargingStation[21],08:11:46,08:13:12,1.4333333333333333,23.795928504447982,100.0,76.204071495552
15193,08:26:26,false,180,35000.0,3.888888888888889,0,autonomousBike95,chargingStation[51],08:25:00,08:26:26,1.4333333333333333,24.03472683346385,100.0,75.96527316653614
15224,08:27:28,false,180,35000.0,3.888888888888889,0,autonomousBike11,chargingStation[68],08:25:58,08:27:28,1.5,19.69083132191657,100.0,80.30916867808344
15954,08:51:48,false,180,35000.0,3.888888888888889,0,autonomousBike173,chargingStation[14],08:50:22,08:51:48,1.4333333333333333,23.404883913978683,100.0,76.59511608602132
16148,08:58:16,false,180,35000.0,3.888888888888889,0,autonomousBike126,chargingStation[33],08:56:38,08:58:16,1.6333333333333333,12.950703177637424,100.0,87.04929682236258
16232,09:01:04,false,180,35000.0,3.888888888888889,0,autonomousBike20,chargingStation[64],08:59:28,09:01:04,1.6,14.026220702860861,100.0,85.97377929713915
16339,09:04:38,false,180,35000.0,3.888888888888889,0,autonomousBike70,chargingStation[48],09:03:10,09:04:38,1.4666666666666666,21.636077279131907,100.0,78.36392272086809
16639,09:14:38,false,180,35000.0,3.888888888888889,0,autonomousBike85,chargingStation[66],09:13:10,09:14:38,1.4666666666666666,21.674430977522363,100.0,78.32556902247764
17140,09:31:20,false,180,35000.0,3.888888888888889,0,autonomousBike137,chargingStation[33],09:29:52,09:31:20,1.4666666666666666,21.687360558400147,100.0,78.31263944159986
