Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Gas Station,Start Time,End Time,Duration (min),Start Fuel %,End Fuel %,Fuel Gain %
14369,07:58:58,true,200,50000.0,2.2222222222222223,50,car31,gasstation[6],07:33:10,07:58:58,25.8,14.003627788534084,100.0,85.99637221146592
14752,08:11:44,true,200,50000.0,2.2222222222222223,50,car36,gasstation[5],07:45:50,08:11:44,25.9,13.743746766342714,100.0,86.25625323365728
15412,08:33:44,true,200,50000.0,2.2222222222222223,50,car3,gasstation[2],08:08:04,08:33:44,25.666666666666668,14.550546398280934,100.0,85.44945360171906
18571,10:19:02,true,200,50000.0,2.2222222222222223,50,car35,gasstation[5],09:53:22,10:19:02,25.666666666666668,14.468317411718706,100.0,85.53168258828129
20338,11:17:56,true,200,50000.0,2.2222222222222223,50,car46,gasstation[5],10:51:52,11:17:56,26.066666666666666,13.195485320541241,100.0,86.80451467945875
20429,11:20:58,true,200,50000.0,2.2222222222222223,50,car38,gasstation[0],10:55:12,11:20:58,25.766666666666666,14.168215293997749,100.0,85.83178470600224
22578,12:32:36,true,200,50000.0,2.2222222222222223,50,car4,gasstation[6],12:06:54,12:32:36,25.7,14.34114939885437,100.0,85.65885060114562
24019,13:20:38,true,200,50000.0,2.2222222222222223,50,car5,gasstation[6],12:55:02,13:20:38,25.6,14.767580622983619,100.0,85.23241937701638
24022,13:20:44,true,200,50000.0,2.2222222222222223,50,car20,gasstation[6],12:54:56,13:20:44,25.8,14.043440349900695,100.0,85.95655965009931
24353,13:31:46,true,200,50000.0,2.2222222222222223,50,car18,gasstation[5],13:05:56,13:31:46,25.833333333333332,13.983355642096726,100.0,86.01664435790327
24446,13:34:52,true,200,50000.0,2.2222222222222223,50,car13,gasstation[5],13:09:08,13:34:52,25.733333333333334,14.244018860509074,100.0,85.75598113949093
26214,14:33:48,true,200,50000.0,2.2222222222222223,50,car33,gasstation[6],14:08:10,14:33:48,25.633333333333333,14.569750023762085,100.0,85.43024997623792
26797,14:53:14,true,200,50000.0,2.2222222222222223,50,car37,gasstation[6],14:27:22,14:53:14,25.866666666666667,13.802590550201781,100.0,86.19740944979822
26942,14:58:04,true,200,50000.0,2.2222222222222223,50,car49,gasstation[2],14:32:26,14:58:04,25.633333333333333,14.606430766663767,100.0,85.39356923333624
27197,15:06:34,true,200,50000.0,2.2222222222222223,50,car39,gasstation[5],14:40:40,15:06:34,25.9,13.739466468925453,100.0,86.26053353107456
27315,15:10:30,true,200,50000.0,2.2222222222222223,50,car32,gasstation[6],14:44:46,15:10:30,25.733333333333334,14.270214424834169,100.0,85.72978557516583
27346,15:11:32,true,200,50000.0,2.2222222222222223,50,car7,gasstation[5],14:45:22,15:11:32,26.166666666666668,12.782150794475431,100.0,87.21784920552456
27392,15:13:04,true,200,50000.0,2.2222222222222223,50,car24,gasstation[6],14:47:08,15:13:04,25.933333333333334,13.607013080574104,100.0,86.39298691942588
28389,15:46:18,true,200,50000.0,2.2222222222222223,50,car21,gasstation[2],15:20:14,15:46:18,26.066666666666666,13.177598234836804,100.0,86.8224017651632
29769,16:32:18,true,200,50000.0,2.2222222222222223,50,car11,gasstation[6],16:06:36,16:32:18,25.7,14.416963485251486,100.0,85.58303651474853
30148,16:44:56,true,200,50000.0,2.2222222222222223,50,car30,gasstation[6],16:19:16,16:44:56,25.666666666666668,14.519054628008854,100.0,85.48094537199114
31185,17:19:30,true,200,50000.0,2.2222222222222223,50,car25,gasstation[5],16:53:52,17:19:30,25.633333333333333,14.634397882741807,100.0,85.36560211725819
31497,17:29:54,true,200,50000.0,2.2222222222222223,50,car2,gasstation[6],17:04:18,17:29:54,25.6,14.761962932874702,100.0,85.23803706712529
32328,17:57:36,true,200,50000.0,2.2222222222222223,50,car28,gasstation[5],17:31:50,17:57:36,25.766666666666666,14.161824854341255,100.0,85.83817514565875
32482,18:02:44,true,200,50000.0,2.2222222222222223,50,car15,gasstation[4],17:37:06,18:02:44,25.633333333333333,14.619644062291034,100.0,85.38035593770897
33762,18:45:24,true,200,50000.0,2.2222222222222223,50,car42,gasstation[5],18:19:34,18:45:24,25.833333333333332,13.996756020611972,100.0,86.00324397938803
34296,19:03:12,true,200,50000.0,2.2222222222222223,50,car14,gasstation[6],18:37:32,19:03:12,25.666666666666668,14.47303770376097,100.0,85.52696229623903
35103,19:30:06,true,200,50000.0,2.2222222222222223,50,car40,gasstation[6],19:04:18,19:30:06,25.8,14.04622040979577,100.0,85.95377959020422
35833,19:54:26,true,200,50000.0,2.2222222222222223,50,car48,gasstation[6],19:28:40,19:54:26,25.766666666666666,14.118146687737902,100.0,85.88185331226211
36915,20:30:30,true,200,50000.0,2.2222222222222223,50,car27,gasstation[5],20:04:46,20:30:30,25.733333333333334,14.312082474007267,100.0,85.68791752599273
38838,21:34:36,true,200,50000.0,2.2222222222222223,50,car0,gasstation[5],21:08:54,21:34:36,25.7,14.416665494369008,100.0,85.58333450563099
39147,21:44:54,true,200,50000.0,2.2222222222222223,50,car19,gasstation[6],21:19:12,21:44:54,25.7,14.36983711090388,100.0,85.63016288909611
