LUDesc,Category,lon_POI,lat_POI
Parklands,Public Open Space,-71.09512467102579,42.3667139071277
Parklands,Public Open Space,-71.10423539963881,42.373336120555805
Parklands,Public Open Space,-71.08071612835995,42.36654046562372
Parklands,Public Open Space,-71.14820542824152,42.395700788536814
Parklands,Public Open Space,-71.13965989140155,42.375898498557035
Parklands,Public Open Space,-71.08955913257434,42.37282916730342
Parklands,Public Open Space,-71.1154275726922,42.36746044088069
Parklands,Public Open Space,-71.09676309408438,42.36734870125088
Parklands,Public Open Space,-71.07616574897085,42.36669863969891
Parklands,Public Open Space,-71.076644754444,42.36615301799963
Private Open Space,Privately-Owned Open Space,-71.11560837573202,42.36477874950354
Parklands,Public Open Space,-71.11225975108547,42.3637069875997
Parklands,Public Open Space,-71.11525079681353,42.362338326565805
Private Open Space,Privately-Owned Open Space,-71.10261018150466,42.36212839715965
Parklands,Public Open Space,-71.11280829668553,42.36101601486948
Private Open Space,Privately-Owned Open Space,-71.08196566759406,42.36343868878887
Private Open Space,Privately-Owned Open Space,-71.08213899071352,42.3632035374284
Parklands,Public Open Space,-71.141562299363,42.38574690618727
Parklands,Public Open Space,-71.13993700560155,42.37523756070712
Parklands,Public Open Space,-71.1373233367425,42.37478660316012
Parklands,Public Open Space,-71.13700579190743,42.397098972913675
Parklands,Public Open Space,-71.13755478478913,42.3954667149032
Parklands,Public Open Space,-71.13558060335768,42.38860349836489
Parklands,Public Open Space,-71.14587704964025,42.379870712928586
Parklands,Public Open Space,-71.12636389531909,42.37698595015324
Parklands,Public Open Space,-71.09652052487928,42.37057969878597
Parklands,Public Open Space,-71.09466904653479,42.366068053020065
Parklands,Public Open Space,-71.13495319865392,42.40216746063961
Parklands,Public Open Space,-71.14658990981228,42.38416537790332
Parklands,Public Open Space,-71.11409616219251,42.3554116736333
Parklands,Public Open Space,-71.06912946885845,42.36933786678067
Parklands,Public Open Space,-71.14192037565641,42.39677485051017
Parklands,Public Open Space,-71.14912178551724,42.396968623361694
Parklands,Public Open Space,-71.15550672218916,42.39505495264798
Parklands,Public Open Space,-71.11606304088477,42.36411207436269
