LUDesc,Category,lon_POI,lat_POI
SNGL-FAM-RES,Residential,-71.13634354095764,42.400102465187274
TWO-FAM-RES,Residential,-71.13142595286061,42.40014719252247
SNGL-FAM-RES,Residential,-71.13471302438134,42.40009909099112
TWO-FAM-RES,Residential,-71.13152300293567,42.40007318648088
TWO-FAM-RES,Residential,-71.13548448675273,42.4001228823587
SNGL-FAM-RES,Residential,-71.13585371492964,42.400118464165864
SNGL-FAM-RES,Residential,-71.13273729484368,42.400007933977776
MXD >8-UNIT-APT,Mixed Use Residential,-71.13294015239192,42.39986070520884
TWO-FAM-RES,Residential,-71.13450941504246,42.39993024353989
TWO-FAM-RES,Residential,-71.13548235665407,42.40001432431606
TWO-FAM-RES,Residential,-71.13055291915735,42.399910823037665
SNGL-FAM-RES,Residential,-71.13585210364505,42.40001126692242
TWO-FAM-RES,Residential,-71.13664964754669,42.399915137395084
TWO-FAM-RES,Residential,-71.13437620756099,42.39988023303727
SNGL-FAM-RES,Residential,-71.13171866809762,42.399925961692624
TWO-FAM-RES,Residential,-71.13638539672225,42.399903398146186
TWO-FAM-RES,Residential,-71.13683606045441,42.39986863780899
TWO-FAM-RES,Residential,-71.13423590416535,42.39983187387651
TWO-FAM-RES,Residential,-71.1303348949121,42.399824543507606
SNGL-FAM-RES,Residential,-71.13180996047495,42.39985670461029
SNGL-FAM-RES,Residential,-71.13495773833928,42.3999034568804
TWO-FAM-RES,Residential,-71.13548196030388,42.39990404500774
TWO-FAM-RES,Residential,-71.13585089271528,42.399901325303524
TWO-FAM-RES,Residential,-71.13110172351655,42.399798904246
SNGL-FAM-RES,Residential,-71.13189969930663,42.39978723530954
SNGL-FAM-RES,Residential,-71.13005212631333,42.39975565894792
SNGL-FAM-RES,Residential,-71.1349593079278,42.39979697079538
THREE-FM-RES,Residential,-71.13547984707019,42.399792232195004
THREE-FM-RES,Residential,-71.1358492838382,42.39978947658191
TWO-FAM-RES,Residential,-71.1345520644736,42.399709531333166
THREE-FM-RES,Residential,-71.13119988363891,42.399718637304886
SNGL-FAM-RES,Residential,-71.13199055842338,42.39971794857703
SNGL-FAM-RES,Residential,-71.13071207067026,42.39973221156141
TWO-FAM-RES,Residential,-71.13385395543061,42.39966218661506
THREE-FM-RES,Residential,-71.13638357370075,42.3997403588316
TWO-FAM-RES,Residential,-71.13679287942095,42.399740898230085
TWO-FAM-RES,Residential,-71.12974907636126,42.399646184735076
TWO-FAM-RES,Residential,-71.13721041116666,42.39961053941228
SNGL-FAM-RES,Residential,-71.13013631325016,42.399676074898835
SNGL-FAM-RES,Residential,-71.13077680808533,42.39967355530064
MXD THREE-FM-RE,Mixed Use Residential,-71.13373121035289,42.399611303221135
TWO-FAM-RES,Residential,-71.13208275557801,42.399648130155285
4-8-UNIT-APT,Residential,-71.1312963970689,42.39963945096147
TWO-FAM-RES,Residential,-71.13059507925746,42.399640471496284
TWO-FAM-RES,Residential,-71.13495495724503,42.399688348086684
SNGL-FAM-RES,Residential,-71.13547910575957,42.39968126246032
SNGL-FAM-RES,Residential,-71.1304867238248,42.399607642345806
THREE-FM-RES,Residential,-71.13085073909153,42.39960554337235
SNGL-FAM-RES,Residential,-71.13738025925927,42.39956810643935
MXD TWO-FAM-RES,Mixed Use Residential,-71.13363811885226,42.39953298962747
TWO-FAM-RES,Residential,-71.13026614637688,42.39961486135392
TWO-FAM-RES,Residential,-71.12962008065884,42.39956683543313
THREE-FM-RES,Residential,-71.13638173052915,42.39963144913034
TWO-FAM-RES,Residential,-71.13679177859558,42.399632446789795
THREE-FM-RES,Residential,-71.13144563989667,42.39951754614113
SNGL-FAM-RES,Residential,-71.13456464683499,42.399569697357315
TWO-FAM-RES,Residential,-71.13037190918706,42.39951103414317
MXD TWO-FAM-RES,Mixed Use Residential,-71.13356677021885,42.39943695317055
SNGL-FAM-RES,Residential,-71.1309312970892,42.39952253693238
TWO-FAM-RES,Residential,-71.13495273027308,42.39957634404181
TWO-FAM-RES,Residential,-71.13401635794212,42.39946596423949
SNGL-FAM-RES,Residential,-71.13547748130777,42.399571155489575
TWO-FAM-RES,Residential,-71.1294916093823,42.39948811982621
SNGL-FAM-RES,Residential,-71.13584716853295,42.39956872253451
TWO-FAM-RES,Residential,-71.13833251272396,42.3994934397271
TWO-FAM-RES,Residential,-71.13848363996296,42.39949134071002
THREE-FM-RES,Residential,-71.13817794189549,42.39948959900105
TWO-FAM-RES,Residential,-71.13863725991672,42.39948600557387
SNGL-FAM-RES,Residential,-71.13757092403618,42.399434929460135
TWO-FAM-RES,Residential,-71.13879269557516,42.399474379265996
TWO-FAM-RES,Residential,-71.13342198814662,42.39940134050081
TWO-FAM-RES,Residential,-71.13894990043173,42.39945631149442
TWO-FAM-RES,Residential,-71.13679154202622,42.399522689614074
THREE-FM-RES,Residential,-71.1363806365882,42.39952081081054
THREE-FM-RES,Residential,-71.13101327675227,42.39944088113029
TWO-FAM-RES,Residential,-71.1307764661152,42.399435313381844
TWO-FAM-RES,Residential,-71.13910555402282,42.399428440359394
TWO-FAM-RES,Residential,-71.12997035256849,42.399441978551536
SNGL-FAM-RES,Residential,-71.13495383881158,42.39946507912428
THREE-FM-RES,Residential,-71.13547625898643,42.39946207345406
TWO-FAM-RES,Residential,-71.13925722765158,42.399392131128884
SNGL-FAM-RES,Residential,-71.13777976036373,42.39938007039282
THREE-FM-RES,Residential,-71.13584662867012,42.39946033833105
MXD TWO-FAM-RES,Mixed Use Residential,-71.13327615309123,42.39936984347513
TWO-FAM-RES,Residential,-71.13455175838386,42.39943825354806
THREE-FM-RES,Residential,-71.13055752838913,42.39937440536781
THREE-FM-RES,Residential,-71.13109422349407,42.39935734457339
TWO-FAM-RES,Residential,-71.13940096567131,42.39935213124525
TWO-FAM-RES,Residential,-71.1300409072744,42.39936710376367
TWO-FAM-RES,Residential,-71.13731415037851,42.39941462564303
TWO-FAM-RES,Residential,-71.1367908231968,42.39941225060797
TWO-FAM-RES,Residential,-71.13062938818318,42.3992984821671
SNGL-FAM-RES,Residential,-71.13494840306964,42.399355303405194
TWO-FAM-RES,Residential,-71.13547514578336,42.39935282026761
THREE-FM-RES,Residential,-71.13584529234706,42.39935144500912
TWO-FAM-RES,Residential,-71.13092222938967,42.39927782476268
THREE-FM-RES,Residential,-71.13117687660215,42.399274692323175
TWO-FAM-RES,Residential,-71.13455029881092,42.399326407753684
TWO-FAM-RES,Residential,-71.13398463013061,42.39931311903011
MXD THREE-FM-RE,Mixed Use Residential,-71.1330373272695,42.3992394793838
TWO-FAM-RES,Residential,-71.13965343467729,42.399228219207586
TWO-FAM-RES,Residential,-71.13826228492151,42.3993104278521
TWO-FAM-RES,Residential,-71.13732826489607,42.39930089727955
SNGL-FAM-RES,Residential,-71.13857735774796,42.39930770143993
TWO-FAM-RES,Residential,-71.13678958528129,42.39930146080986
TWO-FAM-RES,Residential,-71.13078736009129,42.39917032185926
THREE-FM-RES,Residential,-71.13126014689959,42.39919184411423
TWO-FAM-RES,Residential,-71.13066921174317,42.39920140723211
TWO-FAM-RES,Residential,-71.13494824040168,42.399248636834216
TWO-FAM-RES,Residential,-71.13289463523536,42.399146585365386
SNGL-FAM-RES,Residential,-71.1354744637758,42.3992418561337
TWO-FAM-RES,Residential,-71.13978542529945,42.39917165214283
SNGL-FAM-RES,Residential,-71.13584477714457,42.39923961184109
THREE-FM-RES,Residential,-71.13774783438339,42.39921780317938
SNGL-FAM-RES,Residential,-71.1345465676206,42.39921716153327
TWO-FAM-RES,Residential,-71.13355573019786,42.39920846126611
SNGL-FAM-RES,Residential,-71.13398437148456,42.39920161160545
TWO-FAM-RES,Residential,-71.13826026749027,42.399195822059326
TWO-FAM-RES,Residential,-71.13733612654661,42.39916446641288
THREE-FM-RES,Residential,-71.13637851274675,42.39919339396037
SNGL-FAM-RES,Residential,-71.13857721313722,42.39919331954955
TWO-FAM-RES,Residential,-71.13678902565859,42.39919083891861
THREE-FM-RES,Residential,-71.13135230935139,42.399090184460455
TWO-FAM-RES,Residential,-71.13991301033538,42.39910450697082
TWO-FAM-RES,Residential,-71.13494529819475,42.39913970707074
TWO-FAM-RES,Residential,-71.13108545702381,42.39905904763695
TWO-FAM-RES,Residential,-71.13547238155226,42.399131747274524
SNGL-FAM-RES,Residential,-71.13306740846167,42.39905853841374
SNGL-FAM-RES,Residential,-71.1358430244983,42.39912864807111
THREE-FM-RES,Residential,-71.12945011669237,42.39904296271105
TWO-FAM-RES,Residential,-71.13454791156323,42.39910705506712
