Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Gas Station,Start Time,End Time,Duration (min),Start Fuel %,End Fuel %,Fuel Gain %
13837,07:41:14,true,200,50000.0,2.2222222222222223,70,car65,gasstation[4],07:38:40,07:41:14,2.566666666666667,14.731744818779136,100.0,85.26825518122087
15057,08:21:54,true,200,50000.0,2.2222222222222223,70,car55,gasstation[6],08:19:20,08:21:54,2.566666666666667,14.549949588323056,100.0,85.45005041167694
15492,08:36:24,true,200,50000.0,2.2222222222222223,70,car1,gasstation[0],08:33:50,08:36:24,2.566666666666667,14.8076411574917,100.0,85.1923588425083
17003,09:26:46,true,200,50000.0,2.2222222222222223,70,car44,gasstation[0],09:24:12,09:26:46,2.566666666666667,14.702477870337798,100.0,85.2975221296622
17319,09:37:18,true,200,50000.0,2.2222222222222223,70,car69,gasstation[5],09:34:44,09:37:18,2.566666666666667,14.51191885850133,100.0,85.48808114149867
18692,10:23:04,true,200,50000.0,2.2222222222222223,70,car19,gasstation[3],10:20:30,10:23:04,2.566666666666667,14.785427669774151,100.0,85.21457233022586
19780,10:59:20,true,200,50000.0,2.2222222222222223,70,car0,gasstation[6],10:56:46,10:59:20,2.566666666666667,14.650652797834221,100.0,85.34934720216577
20862,11:35:24,true,200,50000.0,2.2222222222222223,70,car42,gasstation[5],11:32:50,11:35:24,2.566666666666667,14.876614519488692,100.0,85.1233854805113
20995,11:39:50,true,200,50000.0,2.2222222222222223,70,car37,gasstation[5],11:37:16,11:39:50,2.566666666666667,14.500461678892943,100.0,85.49953832110705
28525,15:50:50,true,200,50000.0,2.2222222222222223,70,car53,gasstation[5],15:48:16,15:50:50,2.566666666666667,14.678217318286627,100.0,85.32178268171336
29181,16:12:42,true,200,50000.0,2.2222222222222223,70,car33,gasstation[6],16:10:08,16:12:42,2.566666666666667,14.525749860630876,100.0,85.47425013936912
29818,16:33:56,true,200,50000.0,2.2222222222222223,70,car22,gasstation[2],16:31:22,16:33:56,2.566666666666667,14.595689614751489,100.0,85.40431038524851
33202,18:26:44,true,200,50000.0,2.2222222222222223,70,car47,gasstation[6],18:24:10,18:26:44,2.566666666666667,14.460094834978813,100.0,85.5399051650212
33210,18:27:00,true,200,50000.0,2.2222222222222223,70,car54,gasstation[6],18:24:26,18:27:00,2.566666666666667,14.5404253294266,100.0,85.45957467057339
33730,18:44:20,true,200,50000.0,2.2222222222222223,70,car13,gasstation[0],18:41:44,18:44:20,2.6,14.17638499713704,100.0,85.82361500286297
33961,18:52:02,true,200,50000.0,2.2222222222222223,70,car27,gasstation[2],18:49:28,18:52:02,2.566666666666667,14.616398485091212,100.0,85.38360151490879
35659,19:48:38,true,200,50000.0,2.2222222222222223,70,car56,gasstation[5],19:46:04,19:48:38,2.566666666666667,14.8217283984739,100.0,85.1782716015261
36144,20:04:48,true,200,50000.0,2.2222222222222223,70,car68,gasstation[0],20:02:12,20:04:48,2.6,14.18557034695723,100.0,85.81442965304277
36214,20:07:08,true,200,50000.0,2.2222222222222223,70,car20,gasstation[6],20:04:34,20:07:08,2.566666666666667,14.54654572114858,100.0,85.45345427885141
37455,20:48:30,true,200,50000.0,2.2222222222222223,70,car62,gasstation[5],20:45:54,20:48:30,2.6,14.40307335739282,100.0,85.59692664260717
