placekey,parent_placekey,location_name,street_address,city,region,postal_code,iso_country_code,safegraph_brand_ids,brands,date_range_start,date_range_end,raw_visit_counts,raw_visitor_counts,visits_by_day,visits_by_each_hour,poi_cbg,visitor_home_cbgs,visitor_home_aggregation,visitor_daytime_cbgs,visitor_country_of_origin,distance_from_home,median_dwell,bucketed_dwell_times,related_same_day_brand,related_same_week_brand,device_type,normalized_visits_by_state_scaling,normalized_visits_by_total_visits,normalized_visits_by_total_visitors,normalized_visits_by_region_naics_visits,normalized_visits_by_region_naics_visitors
223-222@62j-sj2-dvz,,Kendall Hotel,350 Main St,Cambridge,MA,02142,US,"","",2022-05-16T00:00:00-04:00,2022-05-23T00:00:00-04:00,86,37,"[13,12,17,12,14,7,11]","[0,0,0,0,0,0,1,1,1,1,2,0,1,0,1,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,3,2,2,2,0,0,0,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,2,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,1,1,1]",250173531022,"{""371259506011"":4,""090091660024"":4,""170314107001"":4,""250173412004"":4,""250173502002"":4,""250173689014"":4,""530330058022"":4,""250173525002"":4}","{""33011200100"":4,""25017350200"":4}","{""250173331005"":4,""250173531022"":4,""371830526031"":4,""250056451012"":4,""250173839012"":4,""090091601003"":4}","{""US"":35}",37297,245.0,"{""<5"":0,""5-10"":8,""11-20"":4,""21-60"":9,""61-120"":6,""121-240"":14,"">240"":45}","{""Barnes and Noble College"":6,""Dunkin'"":6,""Starbucks"":4,""Target"":3,""Chipotle Mexican Grill"":3,""CAVA"":3,""Sheraton Hotels & Resorts"":1,""Xtramart"":1,""Planet Fitness"":1,""BP"":1,""Ruth's Chris Steak House"":1,""Market Basket"":1,""Krispy Krunchy Chicken"":1,""Fitness Together"":1,""Old Navy"":1,""Kimpton Hotels & Restaurants"":1,""Cumberland Farms"":1,""Speedway"":1,""Wendy's"":1,""Bertucci's"":1}","{""Dunkin'"":27,""Starbucks"":14,""Barnes and Noble College"":14,""Walgreens"":14,""Chipotle Mexican Grill"":11,""Marriott Hotels"":11,""Target"":8,""Planet Fitness"":8,""Wendy's"":8,""Mobil"":8,""McDonald's"":8,""Park Hyatt"":5,""Walmart"":5,""Market Basket"":5,""Carbon Health"":5,""Fitness Together"":5,""Old Navy"":5,""Lowe's"":5,""The Home Depot"":5,""Speedway"":5}","{""android"":18,""ios"":14}",1392.490743307042,1.964322871639038E-5,2.3157202985401574E-5,0.001701925550652075,0.002917133068756148
22b-222@62j-sjv-nyv,,Holy Trinity Armenian Apostle Church Of Greater Boston,145 Brattle St,Cambridge,MA,02138,US,"","",2022-05-16T00:00:00-04:00,2022-05-23T00:00:00-04:00,12,10,"[1,1,2,1,2,1,4]","[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0]",250173542003,"{""250173703003"":4}","{""25017370300"":4}","{""250173324002"":4}","{""US"":7}",11918,14.5,"{""<5"":0,""5-10"":6,""11-20"":1,""21-60"":0,""61-120"":1,""121-240"":3,"">240"":1}","{""Planet Fitness"":8,""Alltown"":8,""The Bar Method"":8,""Marshalls"":8,""CITGO"":8,""Ocean State Job Lot"":8}","{""Market Basket"":20,""Starbucks"":20,""McDonald's"":20,""Walmart"":10,""Planet Fitness"":10,""Tesla Motors"":10,""Club Pilates"":10,""Pure Barre"":10,""Taco Bell"":10,""Alltown"":10,""T.J. Maxx"":10,""Speedway"":10,""Michaels Stores"":10,""The Bar Method"":10,""Mobil"":10,""Party City"":10,""Stop & Shop"":10,""Bank of America"":10,""Marshalls"":10,""CVS"":10}","{""android"":0,""ios"":6}",194.30103394981984,2.740915634845169E-6,6.258703509567993E-6,3.546728143287817E-4,5.430601439109381E-4
22g-222@62j-sk2-vmk,,Mind's Eye Yarns,22 White St,Cambridge,MA,02140,US,"","",2022-05-16T00:00:00-04:00,2022-05-23T00:00:00-04:00,13,13,"[1,3,0,1,1,6,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0]",250173547001,"{""250250401001"":4,""250173547002"":4,""250173507005"":4}",{},"{""250173507005"":4,""250251701007"":4}","{""US"":14}",4306,20.0,"{""<5"":0,""5-10"":5,""11-20"":2,""21-60"":5,""61-120"":1,""121-240"":0,"">240"":0}","{""Pure Barre"":15,""Dunkin'"":15,""Star Market"":8,""Simon mall"":8,""Westin Hotels & Resorts"":8,""Lowe's"":8,""Michaels Stores"":8,""The UPS Store"":8,""7-Eleven"":8,""Starbucks"":8,""Wendy's"":8,""Barnes and Noble College"":8,""Five Guys"":8,""BJ's Wholesale Club"":8,""Gulf Oil"":8,""YWCA"":8,""Lifetime Fitness"":8,""Marriott Hotels"":8}","{""Dunkin'"":54,""Cumberland Farms"":23,""Wendy's"":23,""Stop & Shop"":23,""Star Market"":15,""Pure Barre"":15,""7-Eleven"":15,""Starbucks"":15,""Walgreens"":15,""Anna's Taqueria"":8,""Walmart"":8,""Bluestone Lane"":8,""Planet Fitness"":8,""Simon mall"":8,""Westin Hotels & Resorts"":8,""Lowe's"":8,""Michaels Stores"":8,""The UPS Store"":8,""Bob's Discount Furniture"":8,""iLoveKickboxing"":8}","{""android"":11,""ios"":4}",210.4927867789715,2.9693252710822664E-6,8.136314562438392E-6,3.76702405099971E-4,4.896053028020488E-4
zzy-222@62j-sjr-zvf,224-222@62j-sjr-z9f,Callanan Playground,Concord Ave,Cambridge,MA,02138,US,"","",2022-05-16T00:00:00-04:00,2022-05-23T00:00:00-04:00,24,8,"[3,5,5,3,8,0,0]","[0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",250173544001,"{""250056532032"":4,""250092103003"":4,""420270106003"":4}","{""42051260402"":4}","{""250173544001"":4,""250138104142"":4}","{""US"":11}",69898,53.0,"{""<5"":0,""5-10"":2,""11-20"":4,""21-60"":8,""61-120"":10,""121-240"":0,"">240"":0}","{""Mobil"":45,""CITGO"":27,""Burger King"":18,""Sunoco"":18,""Honda"":9,""Life Care Centers of America"":9,""Autopart International"":9,""Buffalo Wild Wings"":9,""Starbucks"":9,""Pilot Flying J"":9,""CorePower Yoga"":9}","{""CITGO"":38,""Lowe's"":25,""International Trucks"":25,""Dollar General"":25,""Mobil"":25,""Love's Travel Stops and Country Stores"":25,""Burger King"":25,""Sunoco"":25,""Walmart"":13,""Honda"":13,""Life Care Centers of America"":13,""Kings Family Restaurant"":13,""Barnes and Noble"":13,""Market Basket"":13,""Health Street"":13,""Goodyear Commercial Tire & Service Center"":13,""Autopart International"":13,""Speedway"":13,""Music & Arts"":13,""GameStop"":13}","{""android"":4,""ios"":0}",388.6020678996397,5.481831269690338E-6,5.006962807654395E-6,1.169744557032358E-4,1.841055538508745E-4
