Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Distance Traveled
364,01:00:40,false,50,65000.0,5.555555555555555,40,autonomousBike18,308.72720666056796
365,01:00:50,false,50,65000.0,5.555555555555555,40,autonomousBike17,0.0
368,01:01:20,false,50,65000.0,5.555555555555555,40,autonomousBike38,1412.132958752997
369,01:01:30,false,50,65000.0,5.555555555555555,40,autonomousBike3,1075.1864216216504
371,01:01:50,false,50,65000.0,5.555555555555555,40,autonomousBike1,1128.486399925995
373,01:02:10,false,50,65000.0,5.555555555555555,40,autonomousBike36,407.0204775206358
373,01:02:10,false,50,65000.0,5.555555555555555,40,autonomousBike39,1276.4016137362978
374,01:02:20,false,50,65000.0,5.555555555555555,40,autonomousBike18,0.0
387,01:04:30,false,50,65000.0,5.555555555555555,40,autonomousBike36,0.0
391,01:05:10,false,50,65000.0,5.555555555555555,40,autonomousBike7,0.0
391,01:05:10,false,50,65000.0,5.555555555555555,40,autonomousBike27,0.0
395,01:05:50,false,50,65000.0,5.555555555555555,40,autonomousBike3,0.0
400,01:06:40,false,50,65000.0,5.555555555555555,40,autonomousBike1,0.0
404,01:07:20,false,50,65000.0,5.555555555555555,40,autonomousBike38,0.0
406,01:07:40,false,50,65000.0,5.555555555555555,40,autonomousBike39,0.0
429,01:11:30,false,50,65000.0,5.555555555555555,40,autonomousBike5,266.0374854884801
437,01:12:50,false,50,65000.0,5.555555555555555,40,autonomousBike5,2015.172707861405
483,01:20:30,false,50,65000.0,5.555555555555555,40,autonomousBike5,0.0
621,01:43:30,false,50,65000.0,5.555555555555555,40,autonomousBike18,241.8136719607209
621,01:43:30,false,50,65000.0,5.555555555555555,40,autonomousBike28,37.28390296799994
624,01:44:00,false,50,65000.0,5.555555555555555,40,autonomousBike28,67.43848894152887
628,01:44:40,false,50,65000.0,5.555555555555555,40,autonomousBike28,0.0
629,01:44:50,false,50,65000.0,5.555555555555555,40,autonomousBike18,568.6544170542585
643,01:47:10,false,50,65000.0,5.555555555555555,40,autonomousBike18,0.0
999,02:46:30,false,50,65000.0,5.555555555555555,40,autonomousBike47,267.95414318183737
1009,02:48:10,false,50,65000.0,5.555555555555555,40,autonomousBike47,335.4242839605324
1019,02:49:50,false,50,65000.0,5.555555555555555,40,autonomousBike47,0.0
1029,02:51:30,false,50,65000.0,5.555555555555555,40,autonomousBike47,0.0
1035,02:52:30,false,50,65000.0,5.555555555555555,40,autonomousBike47,1332.4620955688144
1064,02:57:20,false,50,65000.0,5.555555555555555,40,autonomousBike47,0.0
1149,03:11:30,false,50,65000.0,5.555555555555555,40,autonomousBike15,156.19843186168632
1154,03:12:20,false,50,65000.0,5.555555555555555,40,autonomousBike15,266.2936796986638
1162,03:13:40,false,50,65000.0,5.555555555555555,40,autonomousBike15,0.0
1179,03:16:30,false,50,65000.0,5.555555555555555,40,autonomousBike24,189.41507905567576
1185,03:17:30,false,50,65000.0,5.555555555555555,40,autonomousBike24,1464.5936195434745
1223,03:23:50,false,50,65000.0,5.555555555555555,40,autonomousBike24,0.0
1227,03:24:30,false,50,65000.0,5.555555555555555,40,autonomousBike31,256.7658021770874
1233,03:25:30,false,50,65000.0,5.555555555555555,40,autonomousBike31,1816.698462801306
1275,03:32:30,false,50,65000.0,5.555555555555555,40,autonomousBike31,0.0
1305,03:37:30,false,50,65000.0,5.555555555555555,40,autonomousBike24,207.356779796054
1312,03:38:40,false,50,65000.0,5.555555555555555,40,autonomousBike24,186.41225511373173
1321,03:40:10,false,50,65000.0,5.555555555555555,40,autonomousBike24,0.0
1395,03:52:30,false,50,65000.0,5.555555555555555,40,autonomousBike33,51.14022959703007
1395,03:52:30,false,50,65000.0,5.555555555555555,40,autonomousBike44,147.1183842213305
1397,03:52:50,false,50,65000.0,5.555555555555555,40,autonomousBike33,2998.1086165958977
1400,03:53:20,false,50,65000.0,5.555555555555555,40,autonomousBike44,3032.7811588917707
1455,04:02:30,false,50,65000.0,5.555555555555555,40,autonomousBike6,186.31999875282628
1460,04:03:20,false,50,65000.0,5.555555555555555,40,autonomousBike6,509.9632724784158
1464,04:04:00,false,50,65000.0,5.555555555555555,40,autonomousBike33,0.0
1467,04:04:30,false,50,65000.0,5.555555555555555,40,autonomousBike44,0.0
1468,04:04:40,false,50,65000.0,5.555555555555555,40,autonomousBike44,181.01445687862275
1474,04:05:40,false,50,65000.0,5.555555555555555,40,autonomousBike44,0.0
1476,04:06:00,false,50,65000.0,5.555555555555555,40,autonomousBike6,0.0
1671,04:38:30,false,50,65000.0,5.555555555555555,40,autonomousBike28,87.22136403908931
1677,04:39:30,false,50,65000.0,5.555555555555555,40,autonomousBike28,1160.423836394498
1705,04:44:10,false,50,65000.0,5.555555555555555,40,autonomousBike28,0.0
1707,04:44:30,false,50,65000.0,5.555555555555555,40,autonomousBike25,143.4855206985017
1711,04:45:10,false,50,65000.0,5.555555555555555,40,autonomousBike25,1404.98943907173
1719,04:46:30,false,50,65000.0,5.555555555555555,40,autonomousBike43,253.4358655171644
1729,04:48:10,false,50,65000.0,5.555555555555555,40,autonomousBike43,813.6661859708748
1737,04:49:30,false,50,65000.0,5.555555555555555,40,autonomousBike3,148.86760814124483
1740,04:50:00,false,50,65000.0,5.555555555555555,40,autonomousBike25,0.0
1741,04:50:10,false,50,65000.0,5.555555555555555,40,autonomousBike3,148.86760814124483
1743,04:50:30,false,50,65000.0,5.555555555555555,40,autonomousBike41,321.47713913752017
1746,04:51:00,false,50,65000.0,5.555555555555555,40,autonomousBike3,0.0
1748,04:51:20,false,50,65000.0,5.555555555555555,40,autonomousBike43,0.0
1750,04:51:40,false,50,65000.0,5.555555555555555,40,autonomousBike41,208.80315790455074
1755,04:52:30,false,50,65000.0,5.555555555555555,40,autonomousBike36,289.7180804701501
1758,04:53:00,false,50,65000.0,5.555555555555555,40,autonomousBike41,0.0
1764,04:54:00,false,50,65000.0,5.555555555555555,40,autonomousBike36,289.7180804701501
1774,04:55:40,false,50,65000.0,5.555555555555555,40,autonomousBike36,0.0
1791,04:58:30,false,50,65000.0,5.555555555555555,40,autonomousBike6,273.2834894719542
1801,05:00:10,false,50,65000.0,5.555555555555555,40,autonomousBike6,487.2168418569005
1819,05:03:10,false,50,65000.0,5.555555555555555,40,autonomousBike6,0.0
1857,05:09:30,false,50,65000.0,5.555555555555555,40,autonomousBike3,65.86104196350104
1857,05:09:30,false,50,65000.0,5.555555555555555,40,autonomousBike15,280.3799084229723
1860,05:10:00,false,50,65000.0,5.555555555555555,40,autonomousBike3,1574.4911496765048
1865,05:10:50,false,50,65000.0,5.555555555555555,40,autonomousBike15,1101.7510022363967
1875,05:12:30,false,50,65000.0,5.555555555555555,40,autonomousBike19,857.5581029498568
1893,05:15:30,false,50,65000.0,5.555555555555555,40,autonomousBike15,0.0
1895,05:15:50,false,50,65000.0,5.555555555555555,40,autonomousBike19,1178.6640725405202
1900,05:16:40,false,50,65000.0,5.555555555555555,40,autonomousBike3,0.0
1905,05:17:30,false,50,65000.0,5.555555555555555,40,autonomousBike49,449.3727343254103
1917,05:19:30,false,50,65000.0,5.555555555555555,40,autonomousBike49,0.0
1919,05:19:50,false,50,65000.0,5.555555555555555,40,autonomousBike49,0.0
1923,05:20:30,false,50,65000.0,5.555555555555555,40,autonomousBike15,332.37088211265893
1923,05:20:30,false,50,65000.0,5.555555555555555,40,autonomousBike19,0.0
1933,05:22:10,false,50,65000.0,5.555555555555555,40,autonomousBike15,615.4330323003882
1947,05:24:30,false,50,65000.0,5.555555555555555,40,autonomousBike15,0.0
1947,05:24:30,false,50,65000.0,5.555555555555555,40,autonomousBike24,186.41225511373173
1947,05:24:30,false,50,65000.0,5.555555555555555,40,autonomousBike49,149.32635726856464
1954,05:25:40,false,50,65000.0,5.555555555555555,40,autonomousBike49,778.6966496567891
1955,05:25:50,false,50,65000.0,5.555555555555555,40,autonomousBike24,123.26035980503302
1960,05:26:40,false,50,65000.0,5.555555555555555,40,autonomousBike24,0.0
1977,05:29:30,false,50,65000.0,5.555555555555555,40,autonomousBike49,0.0
2007,05:34:30,false,50,65000.0,5.555555555555555,40,autonomousBike17,174.74377634066838
