Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Station,Start Time,End Time,Duration (min),Start Battery %,End Battery %,Battery Gain %
39240,21:48:00,false,220,65000.0,2.2222222222222223,0,autonomousBike175,chargingStation[29],18:24:14,21:48:00,203.76666666666668,24.535490154390086,100.0,75.46450984560991
39769,22:05:38,false,220,65000.0,2.2222222222222223,0,autonomousBike186,chargingStation[67],18:39:36,22:05:38,206.03333333333333,23.701153380284854,100.0,76.29884661971515
39776,22:05:52,false,220,65000.0,2.2222222222222223,0,autonomousBike162,chargingStation[60],18:35:10,22:05:52,210.7,21.969275401287376,100.0,78.03072459871262
39938,22:11:16,false,220,65000.0,2.2222222222222223,0,autonomousBike44,chargingStation[55],18:42:52,22:11:16,208.4,22.819450799952282,100.0,77.18054920004771
39957,22:11:54,false,220,65000.0,2.2222222222222223,0,autonomousBike75,chargingStation[71],18:45:20,22:11:54,206.56666666666666,23.499037123302596,100.0,76.50096287669741
39999,22:13:18,false,220,65000.0,2.2222222222222223,0,autonomousBike153,chargingStation[64],18:47:10,22:13:18,206.13333333333333,23.661339671353822,100.0,76.33866032864618
40173,22:19:06,false,220,65000.0,2.2222222222222223,0,autonomousBike55,chargingStation[58],18:50:06,22:19:06,209.0,22.592810028099393,100.0,77.4071899719006
40403,22:26:46,false,220,65000.0,2.2222222222222223,0,autonomousBike181,chargingStation[73],18:55:34,22:26:46,211.2,21.777957841281864,100.0,78.22204215871814
40479,22:29:18,false,220,65000.0,2.2222222222222223,0,autonomousBike141,chargingStation[40],19:00:52,22:29:18,208.43333333333334,22.809613805566727,100.0,77.19038619443327
40589,22:32:58,false,220,65000.0,2.2222222222222223,0,autonomousBike15,chargingStation[42],19:09:46,22:32:58,203.2,24.75019889708569,100.0,75.24980110291432
40630,22:34:20,false,220,65000.0,2.2222222222222223,0,autonomousBike36,chargingStation[29],19:02:48,22:34:20,211.53333333333333,21.655609848618976,100.0,78.34439015138102
40677,22:35:54,false,220,65000.0,2.2222222222222223,0,autonomousBike37,chargingStation[52],19:11:54,22:35:54,204.0,24.455416636878237,100.0,75.54458336312176
40766,22:38:52,false,220,65000.0,2.2222222222222223,0,autonomousBike216,chargingStation[67],19:14:42,22:38:52,204.16666666666666,24.387214264194164,100.0,75.61278573580583
40774,22:39:08,false,220,65000.0,2.2222222222222223,0,autonomousBike172,chargingStation[12],19:10:50,22:39:08,208.3,22.854767705937284,100.0,77.14523229406271
40965,22:45:30,false,220,65000.0,2.2222222222222223,0,autonomousBike203,chargingStation[31],19:19:26,22:45:30,206.06666666666666,23.69105994174256,100.0,76.30894005825745
41037,22:47:54,false,220,65000.0,2.2222222222222223,0,autonomousBike201,chargingStation[51],19:23:16,22:47:54,204.63333333333333,24.213413166551845,100.0,75.78658683344815
41037,22:47:54,false,220,65000.0,2.2222222222222223,0,autonomousBike219,chargingStation[51],19:20:16,22:47:54,207.63333333333333,23.106984879860814,100.0,76.89301512013918
41043,22:48:06,false,220,65000.0,2.2222222222222223,0,autonomousBike90,chargingStation[41],19:19:02,22:48:06,209.06666666666666,22.57075921026782,100.0,77.42924078973218
41056,22:48:32,false,220,65000.0,2.2222222222222223,0,autonomousBike128,chargingStation[30],19:23:38,22:48:32,204.9,24.1168600934823,100.0,75.8831399065177
41101,22:50:02,false,220,65000.0,2.2222222222222223,0,autonomousBike100,chargingStation[39],19:23:42,22:50:02,206.33333333333334,23.58284360626879,100.0,76.4171563937312
41299,22:56:38,false,220,65000.0,2.2222222222222223,0,autonomousBike114,chargingStation[50],19:30:32,22:56:38,206.1,23.668370756270463,100.0,76.33162924372954
41302,22:56:44,false,220,65000.0,2.2222222222222223,0,autonomousBike212,chargingStation[55],19:22:06,22:56:44,214.63333333333333,20.51569330090895,100.0,79.48430669909105
