placekey,latitude,longitude,top_category,open_hours,location_name
25d-222@62j-sjv-j7q,42.370715000000004,-71.113316,Offices of Other Health Practitioners,"{ ""Mon"": [[""8:00"", ""19:00""]], ""Tue"": [[""8:00"", ""19:00""]], ""Wed"": [[""8:00"", ""19:00""]], ""Thu"": [], ""Fri"": [[""8:00"", ""19:00""]], ""Sat"": [], ""Sun"": [] }",Youngren Virginia R Psychologst
26s-222@62j-sjv-py9,42.379490999999994,-71.125279,Lessors of Real Estate,,Apartments at 27 Concord Ave
27g-222@62j-sjv-ju5,42.365146,-71.11276,Lessors of Real Estate,,Apartments at 12 Dodge St
zzw-223@62j-sj3-47q,42.362595,-71.085488,Urban Transit Systems,,Charles MGH T Stop
zzy-222@62j-sjv-j35,42.36943,-71.110975,Personal Care Services,"{ ""Mon"": [[""10:00"", ""19:30""]], ""Tue"": [[""10:00"", ""19:30""]], ""Wed"": [[""10:00"", ""19:30""]], ""Thu"": [[""10:00"", ""19:30""]], ""Fri"": [[""10:00"", ""19:30""]], ""Sat"": [[""10:00"", ""19:30""]], ""Sun"": [[""11:00"", ""18:00""]] }",Harvard Beauty Spa
zzz-222@62j-sj2-rzf,42.363428000000006,-71.100044,"Museums, Historical Sites, and Similar Institutions",,Plaza
222-222@62j-sj2-dn5,42.360119,-71.088622,Specialty Food Stores,"{ ""Mon"": [], ""Tue"": [[""12:00"", ""18:00""]], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",MIT Produce Stand
223-224@62j-sjv-j5f,42.368903,-71.110873,"Museums, Historical Sites, and Similar Institutions",,Z Park Innovation Center Boston
225-222@62j-sj2-sdv,42.363189,-71.098985,Religious Organizations,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""20:00"", ""21:30""]], ""Thu"": [[""5:00"", ""6:00""]], ""Fri"": [[""5:00"", ""6:00""]], ""Sat"": [[""5:00"", ""6:00""]], ""Sun"": [[""14:00"", ""15:00""]] }",Korean Methodist Church Of Boston
227-222@62j-sj2-m8v,42.373331,-71.102246,Lessors of Real Estate,,Apartments at 66 Fayette St
228-222@62j-sj2-k4v,42.374851,-71.104384,Health and Personal Care Stores,,Cambridge Health Alliance Outpatient Pharmacy
228-222@62j-sj3-9mk,42.373806,-71.10007399999999,"Promoters of Performing Arts, Sports, and Similar Events",,The Lilypad
229-222@62j-sj2-hh5,42.369975,-71.102064,Other Amusement and Recreation Industries,"{ ""Mon"": [[""7:00"", ""22:00""]], ""Tue"": [[""7:00"", ""22:00""]], ""Wed"": [[""7:00"", ""22:00""]], ""Thu"": [[""7:00"", ""22:00""]], ""Fri"": [[""7:00"", ""22:00""]], ""Sat"": [[""7:00"", ""22:00""]], ""Sun"": [[""7:00"", ""22:00""]] }",Cambridge Insight Meditation Center
229-222@62j-sjv-975,42.374047,-71.121837,Clothing Stores,"{ ""Mon"": [[""10:00"", ""19:00""]], ""Tue"": [[""10:00"", ""19:00""]], ""Wed"": [[""10:00"", ""19:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""19:00""]], ""Sat"": [[""10:00"", ""19:00""]], ""Sun"": [[""11:00"", ""18:00""]] }",Anthropologie
22k-222@62j-sjv-ndv,42.373857,-71.124783,Electronics and Appliance Stores,"{ ""Mon"": [[""11:00"", ""20:00""]], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""12:00"", ""19:00""]] }",Planet Records
22s-224@62j-sj2-rhq,42.366319,-71.103475,Personal Care Services,"{ ""Mon"": [[""8:00"", ""22:30""]], ""Tue"": [[""8:00"", ""22:30""]], ""Wed"": [[""8:00"", ""22:30""]], ""Thu"": [[""8:00"", ""22:30""]], ""Fri"": [[""8:00"", ""22:30""]], ""Sat"": [[""8:00"", ""22:30""]], ""Sun"": [[""8:00"", ""22:30""]] }",Zeel
22t-222@62j-sj3-9j9,42.374652000000005,-71.101614,Lessors of Real Estate,,Apartments at 5 Beacon St
232-222@62j-sjv-8jv,42.37133,-71.114789,Personal Care Services,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""21:00""]], ""Sat"": [[""10:00"", ""21:00""]], ""Sun"": [[""11:00"", ""20:00""]] }",Qi Foot Spa
23j-222@62j-sgg-75z,42.358265,-71.105925,Automotive Repair and Maintenance,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [[""9:00"", ""17:00""]], ""Sun"": [[""10:00"", ""16:00""]] }",Deleo's Auto Body & Service
23s-223@62j-sjv-8n5,42.370907,-71.114488,Drinking Places (Alcoholic Beverages),,Oberon
23y-222@62j-sj2-nqz,42.363161,-71.104063,Lessors of Real Estate,,Apartments at 66 Pearl St
249-223@62j-sj2-qcq,42.364435,-71.107383,Lessors of Real Estate,,Apartments at 73 River St
24c-222@62j-sjv-fxq,42.364576,-71.11442,Lessors of Real Estate,,Apartments at 359 Western Ave
