Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
37808,21:00:16,false,140,50000.0,3.888888888888889,0,package2841,true,1,227.73333333333332,20:56:46,21:00:16,3.5,-71.119502,42.373612999999885,-71.11595799999999,42.37221099999987,386.9627972479987
37819,21:00:38,false,140,50000.0,3.888888888888889,0,package2819,true,1,228.53333333333333,20:51:34,21:00:38,9.066666666666666,-71.099375,42.37274599999985,-71.099492,42.36360799999988,1056.8155985480287
37835,21:01:10,false,140,50000.0,3.888888888888889,0,package2782,true,1,231.8,20:48:50,21:01:10,12.333333333333334,-71.119548,42.38936199999989,-71.130951,42.38219799999988,1313.1637740693645
37846,21:01:32,false,140,50000.0,3.888888888888889,0,package2786,true,1,231.66666666666666,20:49:42,21:01:32,11.833333333333334,-71.131438,42.382481999999875,-71.12011899999999,42.37453099999988,1403.4544933364236
37871,21:02:22,false,140,50000.0,3.888888888888889,0,package2832,true,1,231.26666666666668,20:57:18,21:02:22,5.066666666666666,-71.102423,42.36502799999988,-71.10141899999999,42.36970699999988,588.7947492133833
37887,21:02:54,false,140,50000.0,3.888888888888889,0,package2804,true,1,235.53333333333333,20:55:34,21:02:54,7.333333333333333,-71.1297,42.39664999999987,-71.13493736621248,42.39889103560574,642.3206275419262
37888,21:02:56,false,140,50000.0,3.888888888888889,0,package2839,true,1,232.33333333333334,20:59:22,21:02:56,3.566666666666667,-71.119827,42.38395799999988,-71.123538,42.38267299999988,409.9081196710514
37900,21:03:20,false,140,50000.0,3.888888888888889,0,package2815,true,1,228.56666666666666,20:51:36,21:03:20,11.733333333333333,-71.09388,42.36278199999988,-71.1085068085843,42.36789517139664,1437.2980756837076
37904,21:03:28,false,140,50000.0,3.888888888888889,0,package2801,true,1,227.26666666666668,20:47:18,21:03:28,16.166666666666668,-71.093378,42.368070999999865,-71.1080556333835,42.357102561053146,1793.9692358893608
37915,21:03:50,false,140,50000.0,3.888888888888889,0,package2820,true,1,233.56666666666666,20:56:36,21:03:50,7.233333333333333,-71.09388,42.36278199999988,-71.09828454271229,42.36755436929763,799.1900217722464
37928,21:04:16,false,140,50000.0,3.888888888888889,0,package2809,true,1,223.03333333333333,20:45:04,21:04:16,19.2,-71.119396,42.37309199999988,-71.14891800000001,42.37575699999988,2452.755442622134
37960,21:05:20,false,140,50000.0,3.888888888888889,0,package2821,true,1,227.1,20:50:08,21:05:20,15.2,-71.120532,42.37354599999988,-71.102297,42.364207999999884,1910.6065033282089
37997,21:06:34,false,140,50000.0,3.888888888888889,0,package2806,true,1,222.53333333333333,20:43:34,21:06:34,23.0,-71.119396,42.37309199999988,-71.09384525746042,42.35731286087455,2864.285116865876
38006,21:06:52,false,140,50000.0,3.888888888888889,0,package2780,true,1,226.03333333333333,20:42:04,21:06:52,24.8,-71.119548,42.38936199999989,-71.09840173983159,42.36737338108238,3069.7668667088105
38008,21:06:56,false,140,50000.0,3.888888888888889,0,package2855,true,1,228.36666666666667,21:00:24,21:06:56,6.533333333333333,-71.09388,42.36278199999988,-71.09384525746042,42.35731286087455,676.0358956641173
38015,21:07:10,false,140,50000.0,3.888888888888889,0,package2822,true,1,224.5,20:47:32,21:07:10,19.633333333333333,-71.102907,42.36421699999986,-71.120187,42.38125599999987,2376.59712286062
38033,21:07:46,false,140,50000.0,3.888888888888889,0,package2871,true,1,229.43333333333334,21:05:28,21:07:46,2.3,-71.102423,42.36502799999988,-71.10174234577714,42.366968707535825,295.5741677972925
38034,21:07:48,false,140,50000.0,3.888888888888889,0,package2811,true,1,243.43333333333334,21:05:28,21:07:48,2.3333333333333335,-71.120671,42.393192999999876,-71.12117086309017,42.39339955296149,184.41014737710742
38035,21:07:50,false,140,50000.0,3.888888888888889,0,package2816,true,1,231.53333333333333,20:54:34,21:07:50,13.266666666666667,-71.08810500000001,42.37226699999988,-71.1004414065042,42.365078310153514,1360.1482723266813
38048,21:08:16,false,140,50000.0,3.888888888888889,0,package2853,true,1,228.5,20:59:32,21:08:16,8.733333333333333,-71.094985,42.37338699999987,-71.1010048486172,42.36534098927916,1079.7598825881873
38070,21:09:00,false,140,50000.0,3.888888888888889,0,package2803,true,1,232.06666666666666,20:52:06,21:09:00,16.9,-71.119396,42.37309199999988,-71.098512,42.36309599999988,2102.075265084143
38070,21:09:00,false,140,50000.0,3.888888888888889,0,package2865,true,1,232.86666666666667,21:06:54,21:09:00,2.1,-71.119396,42.37309199999988,-71.120603,42.37419499999988,199.0019338087336
