Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Event,Message,Start Time,End Time,Duration (min),Distance Traveled,Start Battery %,End Battery %,Battery Gain %
11132,6:11:04,FALSE,150,50000,3.888888889,0,autonomousBike59,END: wandering,nil,6:07:10,6:11:04,3.9,0,92.75873298,92.75873298,0
11133,6:11:06,FALSE,150,50000,3.888888889,0,autonomousBike59,START: picking_up_packages,Picking up package[34],,,,,,,
11153,6:11:46,FALSE,150,50000,3.888888889,0,autonomousBike90,END: picking_up_packages,Picked up package[33],6:10:06,6:11:46,1.666666667,278.4713853,31.13582604,30.37983276,-0.755993286
11154,6:11:48,FALSE,150,50000,3.888888889,0,autonomousBike90,START: in_use_packages,In Use package[33],,,,,,,
11154,6:11:48,FALSE,150,50000,3.888888889,0,autonomousBike90,END: in_use_packages,Usedpackage[33],6:11:48,6:11:48,0,0,30.37983276,30.37983276,0
11155,6:11:50,FALSE,150,50000,3.888888889,0,autonomousBike90,START: wandering,nil,,,,,,,
11177,6:12:34,FALSE,150,50000,3.888888889,0,autonomousBike59,END: picking_up_packages,Picked up package[34],6:11:06,6:12:34,1.466666667,277.8094961,92.75873298,92.08132755,-0.677405428
11178,6:12:36,FALSE,150,50000,3.888888889,0,autonomousBike59,START: in_use_packages,In Use package[34],,,,,,,
11252,6:15:04,FALSE,150,50000,3.888888889,0,autonomousBike41,END: wandering,nil,0:00:00,6:15:04,375.0666667,0,79.43187917,79.43187917,0
11253,6:15:06,FALSE,150,50000,3.888888889,0,autonomousBike41,START: picking_up_packages,Picking up package[35],,,,,,,
11284,6:16:08,FALSE,150,50000,3.888888889,0,autonomousBike59,END: in_use_packages,Usedpackage[34],6:12:36,6:16:08,3.533333333,336.2816572,92.08132755,91.14381971,-0.937507843
11285,6:16:10,FALSE,150,50000,3.888888889,0,autonomousBike59,START: wandering,nil,,,,,,,
11326,6:17:32,FALSE,150,50000,3.888888889,0,autonomousBike41,END: picking_up_packages,Picked up package[35],6:15:06,6:17:32,2.433333333,271.8366655,79.43187917,78.31907558,-1.11280359
11327,6:17:34,FALSE,150,50000,3.888888889,0,autonomousBike41,START: in_use_packages,In Use package[35],,,,,,,
11340,6:18:00,FALSE,150,50000,3.888888889,0,autonomousBike83,END: in_use_packages,Usedpackage[25],5:54:26,6:18:00,23.56666667,2215.15161,89.1893867,82.91123389,-6.278152807
11341,6:18:02,FALSE,150,50000,3.888888889,0,autonomousBike83,START: wandering,nil,,,,,,,
11372,6:19:04,FALSE,150,50000,3.888888889,0,autonomousBike59,END: wandering,nil,6:16:10,6:19:04,2.9,0,91.14381971,91.14381971,0
11372,6:19:04,FALSE,150,50000,3.888888889,0,autonomousBike86,END: wandering,nil,5:54:26,6:19:04,24.63333333,0,59.85291165,59.85291165,0
11372,6:19:04,FALSE,150,50000,3.888888889,0,autonomousBike90,END: wandering,nil,6:11:50,6:19:04,7.233333333,0,30.37983276,30.37983276,0
11372,6:19:04,FALSE,150,50000,3.888888889,0,autonomousBike142,END: wandering,nil,0:00:00,6:19:04,379.0666667,0,67.01862457,67.01862457,0
